n,pattern,seed,L,rho,tau,c_star_N,c_star_source,C_N_online,r,n_feasible,k,core_nonempty,core_epsilon,r_star_star,theorem11_applicable,theorem11_fires,runtime_core_lp_sec,note
20,A,7,4.4721,inf,0.0,20.0341,held_karp,24.3596,1.2159,32793,20,False,3.53757,1.1725,True,True,1.69,
20,A,42,4.4721,inf,0.0,18.985,held_karp,23.9539,1.2617,32793,20,False,4.134491,1.1039,True,True,0.73,
20,A,99,4.4721,inf,0.0,18.3047,held_karp,19.3332,1.0562,32793,20,False,0.370222,1.1129,True,False,1.39,
20,A,123,4.4721,inf,0.0,16.9248,held_karp,18.2252,1.0768,32793,20,False,0.73199,1.1117,True,False,0.7,
20,A,256,4.4721,inf,0.0,20.2147,held_karp,24.7938,1.2265,32793,20,False,3.80398,1.0938,True,True,1.85,
20,B_medium,7,4.4721,2.0,0.3562,20.0341,held_karp,22.5515,1.1257,46337,16,True,-4.467356,,False,False,2.13,
20,B_medium,42,4.4721,2.0,0.3562,18.985,held_karp,28.2799,1.4896,59394,17,True,-2.985606,,False,False,1.2,
20,B_medium,99,4.4721,2.0,0.3562,18.3047,held_karp,26.8393,1.4663,32257,15,True,-2.992678,,False,False,0.63,
20,B_medium,123,4.4721,2.0,0.3562,16.9248,held_karp,21.9896,1.2993,22273,14,True,-3.820668,,False,False,0.53,
20,B_medium,256,4.4721,2.0,0.3562,20.2147,held_karp,25.6203,1.2674,23233,15,True,-2.635804,,False,False,0.55,
20,C,7,4.4721,2.0,0.3562,20.0341,held_karp,27.7919,1.3872,32793,20,False,6.798241,1.1725,True,True,1.97,
20,C,42,4.4721,2.0,0.3562,18.985,held_karp,25.5703,1.3469,32793,20,False,5.670135,1.1039,True,True,1.92,
20,C,99,4.4721,2.0,0.3562,18.3047,held_karp,24.9409,1.3625,32793,20,False,5.697598,1.1129,True,True,0.65,
20,C,123,4.4721,2.0,0.3562,16.9248,held_karp,22.8506,1.3501,32793,20,False,5.12612,1.1117,True,True,0.71,
20,C,256,4.4721,2.0,0.3562,20.2147,held_karp,24.8101,1.2273,32793,20,False,3.819502,1.0938,True,True,2.22,
30,A,7,5.4772,inf,0.0,27.1122,lkh,31.534,1.1631,32813,30,,,1.1472,True,True,0.0,core_lp_intractable (|F|=2^30-1)
30,A,42,5.4772,inf,0.0,26.7007,lkh,33.0651,1.2384,32813,30,,,1.0835,True,True,0.0,core_lp_intractable (|F|=2^30-1)
30,A,99,5.4772,inf,0.0,27.0156,lkh,33.7926,1.2509,32813,30,,,1.0937,True,True,0.0,core_lp_intractable (|F|=2^30-1)
30,A,123,5.4772,inf,0.0,27.7414,lkh,28.7826,1.0375,32813,30,,,1.088,True,False,0.0,core_lp_intractable (|F|=2^30-1)
30,A,256,5.4772,inf,0.0,27.2522,lkh,33.9394,1.2454,32813,30,,,1.068,True,True,0.0,core_lp_intractable (|F|=2^30-1)
30,B_medium,7,5.4772,2.0,0.3562,27.1122,lkh,37.6064,1.3871,50697,23,True,-6.348097,,False,False,1.03,
30,B_medium,42,5.4772,2.0,0.3562,26.7007,lkh,35.7191,1.3378,65478,25,True,-3.908828,,False,False,1.38,
30,B_medium,99,5.4772,2.0,0.3562,27.0156,lkh,34.5646,1.2794,73737,23,True,-6.719807,,False,False,1.5,
30,B_medium,123,5.4772,2.0,0.3562,27.7414,lkh,37.1985,1.3409,43911,22,True,-5.697617,,False,False,4.65,
30,B_medium,256,5.4772,2.0,0.3562,27.2522,lkh,32.707,1.2002,70276,23,True,-5.096322,,False,False,1.46,
30,C,7,5.4772,2.0,0.3562,27.1122,lkh,32.5639,1.2011,32813,30,False,4.754298,1.1472,True,True,1.3,
30,C,42,5.4772,2.0,0.3562,26.7007,lkh,34.2892,1.2842,32813,30,False,6.77924,1.0835,True,True,0.65,
30,C,99,5.4772,2.0,0.3562,27.0156,lkh,36.9705,1.3685,32813,30,False,9.020747,1.0937,True,True,0.69,
30,C,123,5.4772,2.0,0.3562,27.7414,lkh,33.573,1.2102,32813,30,False,5.277903,1.088,True,True,0.68,
30,C,256,5.4772,2.0,0.3562,27.2522,lkh,36.7006,1.3467,32813,30,False,8.61599,1.068,True,True,0.68,
50,A,7,7.0711,inf,0.0,43.1341,lkh,49.8969,1.1568,32853,50,,,1.0971,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,A,42,7.0711,inf,0.0,40.9481,lkh,48.7192,1.1898,32853,50,,,1.0376,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,A,99,7.0711,inf,0.0,43.2124,lkh,52.8708,1.2235,32853,50,,,1.0674,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,A,123,7.0711,inf,0.0,43.1848,lkh,56.3911,1.3058,32853,50,,,1.0809,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,A,256,7.0711,inf,0.0,42.2037,lkh,49.6658,1.1768,32853,50,,,1.0567,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,B_medium,7,7.0711,2.0,0.3562,43.1341,lkh,59.299,1.3748,65544,38,True,-8.021828,,False,False,1.29,
50,B_medium,42,7.0711,2.0,0.3562,40.9481,lkh,59.6665,1.4571,32803,39,True,-7.94587,,False,False,2.63,
50,B_medium,99,7.0711,2.0,0.3562,43.2124,lkh,56.6487,1.3109,32803,37,True,-8.073138,,False,False,3.04,
50,B_medium,123,7.0711,2.0,0.3562,43.1848,lkh,58.5413,1.3556,81936,36,True,-8.511122,,False,False,1.82,
50,B_medium,256,7.0711,2.0,0.3562,42.2037,lkh,60.6509,1.4371,50191,38,True,-8.798443,,False,False,0.99,
50,C,7,7.0711,2.0,0.3562,43.1341,lkh,55.0825,1.277,32853,50,False,11.227298,1.0971,True,True,0.68,
50,C,42,7.0711,2.0,0.3562,40.9481,lkh,50.3942,1.2307,32853,50,False,8.689817,1.0376,True,True,0.73,
50,C,99,7.0711,2.0,0.3562,43.2124,lkh,55.802,1.2913,32853,50,False,11.858698,1.0674,True,True,0.71,
50,C,123,7.0711,2.0,0.3562,43.1848,lkh,58.1062,1.3455,32853,50,False,14.056259,1.0809,True,True,0.71,
50,C,256,7.0711,2.0,0.3562,42.2037,lkh,53.3379,1.2638,32853,50,False,10.374954,1.0567,True,True,2.03,
